poly_id,tea_probability,tea_fraction,n_pixels
802,0.02590654,0.0,74
803,0.016271647,0.0,85
804,0.021293163,0.0,18
805,0.010530324,0.0,44
806,0.017640969,0.0,28
807,0.011492062,0.0,87
808,0.011897218,0.0,43
809,0.01336089,0.0,40
810,0.010438609,0.0,15
811,0.014818665,0.0,27
812,0.019491162,0.0,40
813,0.009886187,0.0,84
814,0.014972304,0.0,28
815,0.019411154,0.0,29
816,0.021411205,0.0,24
817,0.021625564,0.0,277
818,0.012148371,0.0,26
819,0.021364849,0.0,28
820,0.01652385,0.0,13
821,0.009523205,0.0,14
822,0.021614725,0.0,85
823,0.013091003,0.0,20
824,0.022116764,0.0,16
825,0.021503672,0.0,18
826,0.020978818,0.0,15
827,0.01161843,0.0,33
828,0.029538672,0.0,22
829,0.015931513,0.0,26
830,0.01822127,0.0,24
831,0.014120937,0.0,121
832,0.02027668,0.0,204
833,0.009478879,0.0,51
834,0.0129184015,0.0,18
835,0.009984842,0.0,33
836,0.028504383,0.0,23
837,0.022583323,0.0,22
838,0.019690935,0.0,16
839,0.016042119,0.0,26
840,0.022396278,0.0,318
841,0.019489257,0.0,18
842,0.021258865,0.0,22
843,0.011233829,0.0,107
844,0.020293996,0.0,32
845,0.010090248,0.0,185
846,0.012690121,0.0,160
847,0.01926664,0.0,75
848,0.020472784,0.0,11
849,0.01214157,0.0,33
850,0.020401115,0.0,47
851,0.015865434,0.0,12
852,0.010719063,0.0,28
853,0.01319607,0.0,21
854,0.015615488,0.0,20
855,0.01093759,0.0,49
856,0.015817298,0.0,22
857,0.012180602,0.0,21
858,0.018397193,0.0,14
859,0.009834032,0.0,65
860,0.012662539,0.0,37
861,0.013342548,0.0,48
862,0.012201901,0.0,54
863,0.01052399,0.0,13
864,0.018930003,0.0,102
865,0.020811677,0.0,13
866,0.01026305,0.0,21
867,0.01353082,0.0,48
868,0.02605619,0.0,16
869,0.014014927,0.0,29
870,0.014328351,0.0,39
871,0.014167284,0.0,284
872,0.014845266,0.0,206
873,0.012553842,0.0,12
874,0.014883664,0.0,19
875,0.011153933,0.0,67
876,0.014055588,0.0,27
877,0.012906039,0.0,52
878,0.012102021,0.0,27
879,0.012884894,0.0,19
880,0.009317962,0.0,211
881,0.014210256,0.0,27
882,0.013710835,0.0,22
883,0.008537495,0.0,47
884,0.013941132,0.0,688
885,0.023057856,0.0,50
886,0.018715797,0.0,17
887,0.033151742,0.0,12
888,0.0114125395,0.0,14
889,0.011965084,0.0,107
890,0.021622203,0.0,12
891,0.011666691,0.0,20
892,0.018654946,0.0,14
893,0.021756973,0.0,16
894,0.0119909225,0.0,48
895,0.010944531,0.0,16
896,0.012293342,0.0,22
897,0.009367713,0.0,63
898,0.011552021,0.0,337
899,0.013799495,0.0,29
900,0.012214597,0.0,16
901,0.025154362,0.0,13
902,0.00962852,0.0,23
903,0.01668189,0.0,14
904,0.012966766,0.0,19
905,0.033951946,0.0,10
906,0.015465805,0.0,13
907,0.011382455,0.0,180
908,0.015009475,0.0,401
909,0.012487203,0.0,432
910,0.026051037,0.0,32
911,0.015972707,0.0,71
912,0.012377337,0.0,30
913,0.014011604,0.0,15
914,0.011967781,0.0,152
915,0.013588754,0.0,15
916,0.01593705,0.0,17
917,0.012665607,0.0,67
918,0.029858809,0.0,13
919,0.0142390365,0.0,23
920,0.014634605,0.0,51
921,0.017189153,0.0,13
922,0.014839755,0.0,20
923,0.013242984,0.0,30
924,0.01982131,0.0,67
925,0.008398256,0.0,18
926,0.010625073,0.0,19
927,0.01209351,0.0,12
928,0.024755282,0.0,14
929,0.039346654,0.0,27
930,0.013829231,0.0,150
931,0.012612166,0.0,18
932,0.018630022,0.0,20
933,0.011206927,0.0,21
934,0.015311528,0.0,21
935,0.02158664,0.0,16
936,0.039564427,0.0,13
937,0.012472033,0.0,64
938,0.017368319,0.0,87
939,0.013237165,0.0,13
940,0.017498767,0.0,12
941,0.013124891,0.0,332
942,0.016823368,0.0,59
943,0.010230767,0.0,22
944,0.013263625,0.0,23
945,0.0132003445,0.0,114
946,0.011790912,0.0,24
947,0.0100643085,0.0,19
948,0.015022791,0.0,208
949,0.01716179,0.0,11
950,0.013869873,0.0,17
951,0.017125817,0.0,16
952,0.012643693,0.0,257
953,0.01374424,0.0,31
954,0.019334644,0.0,14
955,0.013921418,0.0,12
956,0.019406041,0.0,13
957,0.015790477,0.0,18
958,0.028481446,0.0,41
959,0.013251396,0.0,31
960,0.013639536,0.0,26
961,0.011735405,0.0,12
962,0.014911799,0.0,14
963,0.012959842,0.0,26
964,0.013033106,0.0,18
965,0.016517939,0.0,13
966,0.015898652,0.0,20
967,0.01565363,0.0,24
968,0.01345555,0.0,9
969,0.01418153,0.0,67
970,0.019299049,0.0,30
971,0.01185432,0.0,31
972,0.009413849,0.0,14
973,0.013693613,0.0,43
974,0.010431649,0.0,629
975,0.021440715,0.0,15
976,0.015524083,0.0,35
977,0.017100694,0.0,39
978,0.020687172,0.0,14
979,0.021176195,0.0,25
980,0.011769175,0.0,25
981,0.0126203345,0.0,221
982,0.012268272,0.0,25
